Running imagenet_impl.py
********HW03 06: ImageNet Classification********
Begin our training!!!!!!!!!!!!!!
cuda available: True
Using device: cuda:7
Loading dataset!!!!!!!!
Original dataset size:
Training samples: 1281167
Validation samples: 50000
Number of classes: 1000
Selected dataset size:
Training samples: 6405
Validation samples: 100
Applying dataset transforms!!!!!!!!
Creating data loaders!!!!!!!!
Initializing ImageNetCNN!!!!!!!!
Trainable parameters: 5464040
Setting optimizer!!!!!!!!
Initializing trainer!!!!!!!!
Start training!!!!!!!!
Epoch 1, Batch 0/51, Loss: 6.9693, Training Accuracy: 0.0000
Epoch 1, Batch 10/51, Loss: 6.9293, Training Accuracy: 0.0000
Epoch 1, Batch 20/51, Loss: 6.9105, Training Accuracy: 0.0000
Epoch 1, Batch 30/51, Loss: 6.9254, Training Accuracy: 0.0000
Epoch 1, Batch 40/51, Loss: 6.9050, Training Accuracy: 0.0000
Epoch 1, Batch 50/51, Loss: 7.0747, Training Accuracy: 0.0000
Epoch 1/1000, Train Loss: 6.9220, Train Accuracy: 0.0011, Validation Accuracy: 0.0000
Epoch 2, Batch 0/51, Loss: 6.8437, Training Accuracy: 0.0000
Epoch 2, Batch 10/51, Loss: 6.8333, Training Accuracy: 0.0000
Epoch 2, Batch 20/51, Loss: 6.8565, Training Accuracy: 0.0000
Epoch 2, Batch 30/51, Loss: 6.8595, Training Accuracy: 0.0078
Epoch 2, Batch 40/51, Loss: 6.8012, Training Accuracy: 0.0078
Epoch 2, Batch 50/51, Loss: 6.8115, Training Accuracy: 0.0000
Epoch 2/1000, Train Loss: 6.8321, Train Accuracy: 0.0023, Validation Accuracy: 0.0000
Epoch 3, Batch 0/51, Loss: 6.7284, Training Accuracy: 0.0000
Epoch 3, Batch 10/51, Loss: 6.7158, Training Accuracy: 0.0000
Epoch 3, Batch 20/51, Loss: 6.7841, Training Accuracy: 0.0000
Epoch 3, Batch 30/51, Loss: 6.6795, Training Accuracy: 0.0000
Epoch 3, Batch 40/51, Loss: 6.6885, Training Accuracy: 0.0078
Epoch 3, Batch 50/51, Loss: 6.6069, Training Accuracy: 0.0000
Epoch 3/1000, Train Loss: 6.7357, Train Accuracy: 0.0053, Validation Accuracy: 0.0000
Epoch 4, Batch 0/51, Loss: 6.6490, Training Accuracy: 0.0078
Epoch 4, Batch 10/51, Loss: 6.5458, Training Accuracy: 0.0156
Epoch 4, Batch 20/51, Loss: 6.6786, Training Accuracy: 0.0000
Epoch 4, Batch 30/51, Loss: 6.5816, Training Accuracy: 0.0000
Epoch 4, Batch 40/51, Loss: 6.7064, Training Accuracy: 0.0078
Epoch 4, Batch 50/51, Loss: 6.6293, Training Accuracy: 0.0000
Epoch 4/1000, Train Loss: 6.6370, Train Accuracy: 0.0048, Validation Accuracy: 0.0000
Epoch 5, Batch 0/51, Loss: 6.4595, Training Accuracy: 0.0156
Epoch 5, Batch 10/51, Loss: 6.5373, Training Accuracy: 0.0078
Epoch 5, Batch 20/51, Loss: 6.5771, Training Accuracy: 0.0000
Epoch 5, Batch 30/51, Loss: 6.5640, Training Accuracy: 0.0078
Epoch 5, Batch 40/51, Loss: 6.5412, Training Accuracy: 0.0078
Epoch 5, Batch 50/51, Loss: 6.5253, Training Accuracy: 0.0000
Epoch 5/1000, Train Loss: 6.5493, Train Accuracy: 0.0081, Validation Accuracy: 0.0000
Epoch 6, Batch 0/51, Loss: 6.3975, Training Accuracy: 0.0391
Epoch 6, Batch 10/51, Loss: 6.4266, Training Accuracy: 0.0078
Epoch 6, Batch 20/51, Loss: 6.4494, Training Accuracy: 0.0156
Epoch 6, Batch 30/51, Loss: 6.5597, Training Accuracy: 0.0078
Epoch 6, Batch 40/51, Loss: 6.4519, Training Accuracy: 0.0156
Epoch 6, Batch 50/51, Loss: 6.4111, Training Accuracy: 0.0000
Epoch 6/1000, Train Loss: 6.4545, Train Accuracy: 0.0083, Validation Accuracy: 0.0000
Epoch 7, Batch 0/51, Loss: 6.3180, Training Accuracy: 0.0234
Epoch 7, Batch 10/51, Loss: 6.3767, Training Accuracy: 0.0156
Epoch 7, Batch 20/51, Loss: 6.4460, Training Accuracy: 0.0000
Epoch 7, Batch 30/51, Loss: 6.4419, Training Accuracy: 0.0000
Epoch 7, Batch 40/51, Loss: 6.5398, Training Accuracy: 0.0000
Epoch 7, Batch 50/51, Loss: 5.9517, Training Accuracy: 0.2000
Epoch 7/1000, Train Loss: 6.3717, Train Accuracy: 0.0125, Validation Accuracy: 0.0000
Epoch 8, Batch 0/51, Loss: 6.2001, Training Accuracy: 0.0078
Epoch 8, Batch 10/51, Loss: 6.2243, Training Accuracy: 0.0078
Epoch 8, Batch 20/51, Loss: 6.1832, Training Accuracy: 0.0234
Epoch 8, Batch 30/51, Loss: 6.3190, Training Accuracy: 0.0078
Epoch 8, Batch 40/51, Loss: 6.3626, Training Accuracy: 0.0156
Epoch 8, Batch 50/51, Loss: 6.5992, Training Accuracy: 0.0000
Epoch 8/1000, Train Loss: 6.2840, Train Accuracy: 0.0109, Validation Accuracy: 0.0000
Epoch 9, Batch 0/51, Loss: 6.2306, Training Accuracy: 0.0078
Epoch 9, Batch 10/51, Loss: 6.2134, Training Accuracy: 0.0234
Epoch 9, Batch 20/51, Loss: 6.1833, Training Accuracy: 0.0000
Epoch 9, Batch 30/51, Loss: 6.2560, Training Accuracy: 0.0078
Epoch 9, Batch 40/51, Loss: 6.1519, Training Accuracy: 0.0156
Epoch 9, Batch 50/51, Loss: 5.9550, Training Accuracy: 0.0000
Epoch 9/1000, Train Loss: 6.2245, Train Accuracy: 0.0136, Validation Accuracy: 0.0000
Epoch 10, Batch 0/51, Loss: 6.1539, Training Accuracy: 0.0156
Epoch 10, Batch 10/51, Loss: 6.2103, Training Accuracy: 0.0156
Epoch 10, Batch 20/51, Loss: 6.1216, Training Accuracy: 0.0234
Epoch 10, Batch 30/51, Loss: 6.1389, Training Accuracy: 0.0078
Epoch 10, Batch 40/51, Loss: 6.1137, Training Accuracy: 0.0156
Epoch 10, Batch 50/51, Loss: 6.1557, Training Accuracy: 0.0000
Epoch 10/1000, Train Loss: 6.1492, Train Accuracy: 0.0155, Validation Accuracy: 0.0000
Epoch 11, Batch 0/51, Loss: 5.8134, Training Accuracy: 0.0234
Epoch 11, Batch 10/51, Loss: 6.1986, Training Accuracy: 0.0156
Epoch 11, Batch 20/51, Loss: 6.2677, Training Accuracy: 0.0156
Epoch 11, Batch 30/51, Loss: 6.0396, Training Accuracy: 0.0234
Epoch 11, Batch 40/51, Loss: 6.2128, Training Accuracy: 0.0000
Epoch 11, Batch 50/51, Loss: 6.2441, Training Accuracy: 0.0000
Epoch 11/1000, Train Loss: 6.0873, Train Accuracy: 0.0159, Validation Accuracy: 0.0000
Epoch 12, Batch 0/51, Loss: 5.9372, Training Accuracy: 0.0156
Epoch 12, Batch 10/51, Loss: 5.9166, Training Accuracy: 0.0078
Epoch 12, Batch 20/51, Loss: 6.1527, Training Accuracy: 0.0078
Epoch 12, Batch 30/51, Loss: 6.0814, Training Accuracy: 0.0234
Epoch 12, Batch 40/51, Loss: 6.2443, Training Accuracy: 0.0078
Epoch 12, Batch 50/51, Loss: 6.4851, Training Accuracy: 0.0000
Epoch 12/1000, Train Loss: 6.0263, Train Accuracy: 0.0161, Validation Accuracy: 0.0100
Epoch 13, Batch 0/51, Loss: 5.9012, Training Accuracy: 0.0156
Epoch 13, Batch 10/51, Loss: 6.1017, Training Accuracy: 0.0234
Epoch 13, Batch 20/51, Loss: 6.1202, Training Accuracy: 0.0000
Epoch 13, Batch 30/51, Loss: 6.2011, Training Accuracy: 0.0078
Epoch 13, Batch 40/51, Loss: 6.0742, Training Accuracy: 0.0156
Epoch 13, Batch 50/51, Loss: 6.5676, Training Accuracy: 0.0000
Epoch 13/1000, Train Loss: 6.0155, Train Accuracy: 0.0165, Validation Accuracy: 0.0000
Epoch 14, Batch 0/51, Loss: 5.8952, Training Accuracy: 0.0234
Epoch 14, Batch 10/51, Loss: 5.9900, Training Accuracy: 0.0000
Epoch 14, Batch 20/51, Loss: 5.9787, Training Accuracy: 0.0234
Epoch 14, Batch 30/51, Loss: 5.7997, Training Accuracy: 0.0234
Epoch 14, Batch 40/51, Loss: 5.9645, Training Accuracy: 0.0078
Epoch 14, Batch 50/51, Loss: 6.6870, Training Accuracy: 0.0000
Epoch 14/1000, Train Loss: 5.9267, Train Accuracy: 0.0194, Validation Accuracy: 0.0000
Epoch 15, Batch 0/51, Loss: 5.8309, Training Accuracy: 0.0391
Epoch 15, Batch 10/51, Loss: 5.7273, Training Accuracy: 0.0156
Epoch 15, Batch 20/51, Loss: 5.9240, Training Accuracy: 0.0078
Epoch 15, Batch 30/51, Loss: 6.0081, Training Accuracy: 0.0000
Epoch 15, Batch 40/51, Loss: 5.8494, Training Accuracy: 0.0156
Epoch 15, Batch 50/51, Loss: 6.1526, Training Accuracy: 0.0000
Epoch 15/1000, Train Loss: 5.8716, Train Accuracy: 0.0219, Validation Accuracy: 0.0000
Epoch 16, Batch 0/51, Loss: 5.7291, Training Accuracy: 0.0234
Epoch 16, Batch 10/51, Loss: 5.9091, Training Accuracy: 0.0234
Epoch 16, Batch 20/51, Loss: 5.9394, Training Accuracy: 0.0156
Epoch 16, Batch 30/51, Loss: 5.7488, Training Accuracy: 0.0391
Epoch 16, Batch 40/51, Loss: 5.7908, Training Accuracy: 0.0469
Epoch 16, Batch 50/51, Loss: 5.7252, Training Accuracy: 0.2000
Epoch 16/1000, Train Loss: 5.8042, Train Accuracy: 0.0223, Validation Accuracy: 0.0000
Epoch 17, Batch 0/51, Loss: 5.7492, Training Accuracy: 0.0312
Epoch 17, Batch 10/51, Loss: 5.8477, Training Accuracy: 0.0078
Epoch 17, Batch 20/51, Loss: 5.6386, Training Accuracy: 0.0469
Epoch 17, Batch 30/51, Loss: 5.7562, Training Accuracy: 0.0156
Epoch 17, Batch 40/51, Loss: 5.9147, Training Accuracy: 0.0391
Epoch 17, Batch 50/51, Loss: 5.6650, Training Accuracy: 0.2000
Epoch 17/1000, Train Loss: 5.7816, Train Accuracy: 0.0233, Validation Accuracy: 0.0000
Epoch 18, Batch 0/51, Loss: 5.6291, Training Accuracy: 0.0234
Epoch 18, Batch 10/51, Loss: 5.7834, Training Accuracy: 0.0156
Epoch 18, Batch 20/51, Loss: 5.6590, Training Accuracy: 0.0312
Epoch 18, Batch 30/51, Loss: 5.7786, Training Accuracy: 0.0234
Epoch 18, Batch 40/51, Loss: 5.6919, Training Accuracy: 0.0312
Epoch 18, Batch 50/51, Loss: 5.5914, Training Accuracy: 0.0000
